EntityName,EntityID,Time,LocationName,LocationID
Manual worker 1,7,522,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,523,CentralBuffer_Location,0
Manual worker 2,8,523,CentralBuffer_Location,0
Operator 2,5,523,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,524,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,524,UMC750_(M5-03)_Location,8
Manual worker 2,8,524,UMC750_(M5-03)_Location,8
Operator 2,5,525,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,525,CentralBuffer_Location,0
Operator 1,4,526,UMC750_(M5-03)_Location,8
Manual worker 2,8,526,UMC750_(M5-03)_Location,8
Operator 2,5,526,CentralBuffer_Location,0
Manual worker 1,7,526,CentralBuffer_Location,0
Operator 1,4,527,CentralBuffer_Location,0
Manual worker 2,8,527,CentralBuffer_Location,0
Operator 2,5,527,CentralBuffer_Location,0
Manual worker 1,7,527,VF2SS_(M3-03)_Location,5
Operator 1,4,528,CentralBuffer_Location,0
Manual worker 2,8,528,CentralBuffer_Location,0
Operator 2,5,528,UMC750_(M5-03)_Location,8
Manual worker 1,7,529,VF2SS_(M3-03)_Location,5
Operator 1,4,529,UMC750_(M5-03)_Location,8
Manual worker 2,8,529,UMC750SS_(M5-04)_Location,9
Operator 2,5,530,UMC750_(M5-03)_Location,8
Manual worker 1,7,530,CentralBuffer_Location,0
Operator 1,4,531,UMC750_(M5-03)_Location,8
Manual worker 2,8,531,UMC750SS_(M5-04)_Location,9
Operator 2,5,531,CentralBuffer_Location,0
Manual worker 1,7,531,CentralBuffer_Location,0
Operator 1,4,532,CentralBuffer_Location,0
Manual worker 2,8,532,CentralBuffer_Location,0
Operator 2,5,532,CentralBuffer_Location,0
Manual worker 1,7,532,VF2SS_(M3-03)_Location,5
Operator 1,4,533,CentralBuffer_Location,0
Manual worker 2,8,533,CentralBuffer_Location,0
Operator 2,5,533,UMC750_(M5-03)_Location,8
Manual worker 1,7,534,VF2SS_(M3-03)_Location,5
Operator 1,4,534,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 2,8,534,M5-01_(FR5_01)_Location,6
Operator 2,5,535,UMC750_(M5-03)_Location,8
Manual worker 1,7,535,CentralBuffer_Location,0
