OperationID,Name,ProcessTime,Predecessor
175,Nickel plating_[1200745A]  base wet stem quatro,75.0,Sandblasting_[1200745A]  base wet stem quatro
176,BW - Benchwork (BKW_01)_[1200745A]  base wet stem quatro_2,0.08333333333333333,Nickel plating_[1200745A]  base wet stem quatro
177,Packaging (VERP_P)_[1200745A]  base wet stem quatro,0.016666666666666666,BW - Benchwork (BKW_01)_[1200745A]  base wet stem quatro_2
178,"Material prep - automatic sawing (ZGN_01)_[1202210A]  shackle, height adjust",0.016666666666666666,{}
179,"Milling (FR5_01)_[1202210A]  shackle, height adjust",0.0,"Material prep - automatic sawing (ZGN_01)_[1202210A]  shackle, height adjust"
180,"Packaging (VERP_P)_[1202210A]  shackle, height adjust",0.016666666666666666,"Milling (FR5_01)_[1202210A]  shackle, height adjust"
181,"Sawing_[1202211B]  fixing block, actuator",0.016666666666666666,{}
182,"Milling (FR5_01)_[1202211B]  fixing block, actuator",0.0,"Sawing_[1202211B]  fixing block, actuator"
183,"Packaging (VERP_P)_[1202211B]  fixing block, actuator",0.016666666666666666,"Milling (FR5_01)_[1202211B]  fixing block, actuator"
184,"Milling_[1202461A]  intercon.panel,R-STEM",0.4166666666666667,{}
185,"Packaging (VERP_P)_[1202461A]  intercon.panel,R-STEM",0.016666666666666666,"Milling_[1202461A]  intercon.panel,R-STEM"
186,Milling - OP1_[1207568A]  Cable clamp,0.3333333333333333,{}
187,Packaging (VERP_P)_[1207568A]  Cable clamp,0.016666666666666666,Milling - OP1_[1207568A]  Cable clamp
188,Material prep (ZGN_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.016666666666666666,{}
189,Milling (FR5_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.8333333333333334,Material prep (ZGN_01)_[349520-8007-000-0107]  BYPASS (BLOK)
190,Milling (FR3_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.08333333333333333,Milling (FR5_01)_[349520-8007-000-0107]  BYPASS (BLOK)
191,BW - Benchwork (BKW_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.08333333333333333,Milling (FR3_01)_[349520-8007-000-0107]  BYPASS (BLOK)
192,Packaging (VERP_P)_[349520-8007-000-0107]  BYPASS (BLOK),0.016666666666666666,BW - Benchwork (BKW_01)_[349520-8007-000-0107]  BYPASS (BLOK)
193,Material prep (ZGN_01)_[4022-290-63221-D]  Excenter housing z,0.016666666666666666,{}
194,Milling (FR5_01)_[4022-290-63221-D]  Excenter housing z,0.8333333333333334,Material prep (ZGN_01)_[4022-290-63221-D]  Excenter housing z
195,Milling (FR3_01)_[4022-290-63221-D]  Excenter housing z,0.08333333333333333,Milling (FR5_01)_[4022-290-63221-D]  Excenter housing z
196,BW - Benchwork (BKW_01)_[4022-290-63221-D]  Excenter housing z,0.08333333333333333,Milling (FR3_01)_[4022-290-63221-D]  Excenter housing z
197,Packaging (VERP_P)_[4022-290-63221-D]  Excenter housing z,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-290-63221-D]  Excenter housing z
198,Material prep (ZGN_01)_[4022-290-63321F]  Bearing housing spindle (rev F),0.016666666666666666,{}
199,Milling (FR5_02)_[4022-290-63321F]  Bearing housing spindle (rev F),0.016666666666666666,Material prep (ZGN_01)_[4022-290-63321F]  Bearing housing spindle (rev F)
