ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
165,4022-656-73531,[4022-656-73531]  Pipe clamp exhaust FW 1980,mm,3000,0.0,86,
166,5602-0000-0013,[5602-0000-0013]  RVS 304/304L blank plat 50x8,Pcs,1,0.0,86,
167,4022-656-74553,[4022-656-74553]  Assy support guide FW 1980,,1,0.0,50,
168,4022-656-75183,[4022-656-75183]  Non loosable block M4,mm,3000,0.0,93,93
169,5602-0000-0008,[5602-0000-0008]  RVS 304/304L wgw plat 35x20,Pcs,1,0.0,104,
170,4022-656-75212,[4022-656-75212]  Non loosable block M5,mm,3000,0.0,104,104
171,4022-656-92231,[4022-656-92231]  Exhaust fw bridge 1980,mm,3000,0.0,126,
172,5601-0000-0015,[5601-0000-0015]  ALU 6082 T6 plat 80x10,Pcs,1,18000.0,126,
173,4022-659-99092,[4022-659-99092]  YS ML Guardrail Park Block,,1,0.0,,
174,4022-659-99111,[4022-659-99111]  YS ML Park Block Handle,,1,0.0,,
175,4022-664-3390-1,[4022-664-3390-1]  NXE HP SL SLEC EOM CP ARM BACK,mm,3000,0.0,,
176,5602-0000-0007,[5602-0000-0007]  RVS 304/304L wgw plat 30x15,Pcs,1,0.0,,
177,4022-666-18121,[4022-666-18121]  Distance Bush 1,mm,3000,0.0,342,
178,5602-0000-0017,[5602-0000-0017]  RVS 304/304L blank vk 10,Pcs,1,0.0,342,
179,4022-666-3837-1,[4022-666-3837-1]  LSPH Bellow Clamp,Pcs,1,0.0,,
180,5990-0000-0017,[5990-0000-0017]  LSPH Bellow Clamp cutout,Pcs,1,0.0,,
181,4022-666-65702(R1),[4022-666-65702(R1)]  LSPH coverplate stud block,mm,3000,0.0,252,252
182,4022-671-49051,[4022-671-49051]  Bpam cover,mm,3000,0.0,150,
183,5601-0000-0150,[5601-0000-0150]  ALU 6082 T6 plat 120x20 ,Pcs,1,0.0,150,
184,4022-671-49061,[4022-671-49061]  Bpam front 1,mm,3000,0.0,152,
185,4022-671-49073,[4022-671-49073]  Bpam front 2,mm,3000,0.0,,
186,4022-673-67281,[4022-673-67281]  Serv Mech Hinge Bracket Low,mm,3000,0.0,11,
187,5603-0000-0016,[5603-0000-0016]  STAAL S235JR rond Ø100,Pcs,1,0.0,11,
188,4022-673-68701,[4022-673-68701]  AR Hinge Bracket Bottom Hinge,mm,3000,0.0,20,
189,5603-0000-0010,[5603-0000-0010]  STAAL S355J2C+C ngl plat 100x50,Pcs,1,0.0,20,
190,4022-674-35671,[4022-674-35671]  MBI WS LTT SSXY MAN PLUG,mm,3000,0.0,,
191,4022-674-3569,[4022-674-3569]  MBI WS LTT HS MAN PLUG,mm,3000,0.0,,
192,4022-677-28751,[4022-677-28751]  LPAM Front 1,,1,0.0,,
193,4022-677-28761,[4022-677-28761]  LPAM Front 2,,1,0.0,,
194,4022-680-5023,[4022-680-5023]  MBI WS MK2 F&T BMA CONNECT 1,mm,3000,0.0,,
195,5602-0000-0026,[5602-0000-0026]  RVS 316L wgw vk 40,Pcs,1,0.0,,
196,4022-680-5025,[4022-680-5025]  MBI WS MK2 F&T BMA CONNECT,mm,3000,0.0,,
197,4022-680-78322,[4022-680-78322]  SR ML SF EXTENSION PLATE,Pcs,1,0.0,1,
198,5601-0000-0020,[5601-0000-0020]  ALU 6082 gzgd plaat 1035x170x70,Pcs,1,0.0,1,
199,4022-680-9064-119,[4022-680-9064-119]  Block,mm,3000,0.0,16,
200,4022-683-10451,[4022-683-10451]  Brace,mm,3000,0.0,,
201,4022-683-92261,[4022-683-92261]  DC Brace,Pcs,1,0.0,,
202,5602-0000-0035,[5602-0000-0035]  RVS 304/304L blank plat 30x40,Pcs,1,0.0,,
203,4022-689-46621,[4022-689-46621]  MBI WS CARRIER SSZ CAP,Pcs,1,0.0,,
204,5601-0000-0110,[5601-0000-0110]  ALU 6082 gzgd plaat rest materiaal,Pcs,1,0.0,,
205,4022-689-4666,[4022-689-4666]  MBI WS CARRIER EPIN CAP,mm,3000,0.0,,
206,5601-0000-0114,[5601-0000-0114]  ALU 6082 T6 plat 60x20,Pcs,1,0.0,,
207,4022-706-4753,[4022-706-4753]  EXE REMA TT Clamp Block 1,,1,0.0,,
208,4023-000-32142A,[4023-000-32142A]  CAM IF ROT ADJUST SSM,mm,3000,0.0,20,
209,4023-000-34941B,[4023-000-34941B]  SIDE ROTATIONADJUST SSM,mm,3000,0.0,,
210,4023-000-35711A,[4023-000-35711A]  DUST KEEPER RING,mm,3000,0.0,20,
211,5601-0000-0017,[5601-0000-0017]  ALU 6082 T6 plat 100x20,Pcs,1,0.0,20,
212,4023-001-14761B,[4023-001-14761B]  Cover Cupdetect dual L,mm,3000,0.0,15,
213,4023-001-14841C,[4023-001-14841C]  Cover Cupdetect dual R,mm,3000,0.0,15,
214,4023-001-43251B,[4023-001-43251B]  Block detection RI,,1,0.0,15,
215,4023-001-43261B,[4023-001-43261B]  Block detection LE,,1,0.0,15,
216,4023-002-15671,[4023-002-15671]  filter plate Cu0.2-Zr0.08,mm,3000,0.0,,
217,4023-002-36531,[4023-002-36531]  filter plate wide Cu0.2,mm,3000,0.0,,
218,4023-002-36551,[4023-002-36551]  filter plate wide Cu0.4 Rh0.06,mm,3000,0.0,,
219,4023-002-36601,[4023-002-36601]  filter plate wide Rh0.06,mm,3000,0.0,,
220,4023-003-94951-A,[4023-003-94951-A]  filter plate Cu0.2-Zr0.16,mm,3000,0.0,,
221,4512-127-05186B,[4512-127-05186B]  Anschlag,Pcs,1,0.0,1000,1000
222,5990-0000-0012,[5990-0000-0012]  Ensat-SBS zelfsn.draadbus M6x12 Stl.gh.,Pcs,1,0.0,1000,
223,4522-128-81532A POS 1,[4522-128-81532A POS 1]  CEILING INLET ASSY,,1,0.0,,
224,4522-128-81532A POS 2,[4522-128-81532A POS 2]  CEILING INLET*,mm,3000,0.0,,
225,5990-0000-0013,[5990-0000-0013]  EPRAFORM PC helder rond Ø125,Pcs,1,0.0,,
226,4522-980-37881,[4522-980-37881]  Filterplate al.20,Pcs,1,0.0,,
227,5601-0000-0117,[5601-0000-0117]  ALU 99.5 40HV UN-T136 plaat 145x145x25,Pcs,1,0.0,,
228,4522-980-37891,[4522-980-37891]  Filterplate al 5,Pcs,1,0.0,200,
