ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
22752-10-1;6045-1903-5102;0000022752;000010;1;S;NULL;2021-12-07;2021-12-07;117;117;U
22753-10-1;6207-2100-5401;0000022753;000010;1;S;NULL;2021-12-02;2022-03-15;28;30;U
22756-10-1;6410-1100-1905;0000022756;000010;1;S;NULL;2022-01-06;2022-02-04;60;60;U
22756-30-1;6410-1100-1905;0000022756;000030;1;S;NULL;2021-12-17;2022-03-17;60;60;U
22759-10-1;6337-1300-2501;0000022759;000010;1;S;NULL;2022-01-31;2022-01-31;70;70;U
22760-10-1;6337-1200-8507;0000022760;000010;1;S;NULL;2022-02-14;2022-02-14;180;180;U
22760-20-1;6337-1200-8507;0000022760;000020;1;S;NULL;2022-01-31;2022-01-31;220;220;U
22761-50-1;6337-1000-0012;0000022761;000050;1;S;NULL;2022-03-07;2022-04-25;40;40;U
22761-60-1;6337-1000-0012;0000022761;000060;1;S;NULL;2022-04-01;2022-05-23;40;40;U
22762-10-1;6337-1200-8507;0000022762;000010;1;S;NULL;2022-02-07;2022-02-07;200;200;U
22432-10-1;6649-1300-2410;0000022432;000010;1;S;NULL;2022-04-07;2022-04-07;25;25;U
14622-50-1;6023-1800-5602;0000014622;000050;1;S;NULL;2022-01-03;2022-02-04;50;50;U
14622-60-1;6023-1800-5602;0000014622;000060;1;S;NULL;2022-01-03;2022-02-04;50;50;U
14622-70-1;6023-1800-5602;0000014622;000070;1;S;NULL;2022-01-03;2022-01-28;40;40;U
16330-460-1;6023-1702-0405;0000016330;000460;1;S;NULL;2022-01-03;2022-01-24;1000;1000;U
16331-650-1;6023-1701-0008;0000016331;000650;1;S;NULL;2022-03-01;2022-03-01;500;500;U
16331-640-1;6023-1701-0008;0000016331;000640;1;S;NULL;2022-01-06;2022-01-21;890;890;U
16331-660-1;6023-1701-0008;0000016331;000660;1;S;NULL;2022-03-01;2022-03-01;1100;1100;U
18246-160-1;6410-1900-1803;0000018246;000160;1;S;NULL;2022-01-03;2022-02-25;2;2;U
18246-180-1;6410-1900-1803;0000018246;000180;1;S;NULL;2022-01-03;2022-02-25;30;30;U
19332-320-1;6661-1000-0111;0000019332;000320;1;S;NULL;2022-01-06;2022-02-01;772;772;U
21096-20-3;6934-1900-1003;0000021096;000020;3;S;NULL;2021-12-02;2022-02-03;156;156;U
21665-40-3;6410-1600-1100;0000021665;000040;3;S;NULL;2021-10-26;2022-02-09;15;15;U
