"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"","","","","","","Milling (FR4-02)","10.0"
"","","","","","","Milling (FR4-01)","15.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-481-55761] Temp Sensor Block","[4022-481-55761] Temp Sensor Block","[5601-0000-0007] ALU 6082 T6 vk 30","mm","272.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","12.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-481-65971/20] UPPER CABLE CLAMP","[4022-481-65971/20] UPPER CABLE CLAMP","[5601-0000-0009] ALU 6082 T6 vk 50","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","17.0"
"","","","","","","Milling (FR4-01)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-484-40911] Al fcp anti loss screw plate","[4022-484-40911] Al fcp anti loss screw plate","","","","","",""
"[4022-484-40921] Al fcp switch holder","[4022-484-40921] Al fcp switch holder","[5601-0000-0113] ALU 6082 T6 plat 50x25","mm","121.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","20.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-486-33041] Connector Block","[4022-486-33041] Connector Block","[5602-0000-0025] RVS 316L wgw plat 40x15","mm","23.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR4-01)","9.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-486-73851/40] Cable Clamp Base (M5)","[4022-486-73851/40] Cable Clamp Base (M5)","[5601-0000-0009] ALU 6082 T6 vk 50","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","23.0"
"","","","","","","Milling (FR5_02)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-510-76650P19] Block POS. 19","[4022-510-76650P19] Block POS. 19","[5603-0000-0023] STAAL S355J2G3 wgw vk 90","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","10.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-621-9185] Ynozzle Ducting V2 Cover","[4022-621-9185] Ynozzle Ducting V2 Cover","[5602-0000-0033] RVS 316L wgw plat 60x25","mm","53.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","29.0"
"","","","","","","Milling (FR5_01)","26.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-630-67632] HINGE BLOCK BACK","[4022-630-67632] HINGE BLOCK BACK","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR5_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-2166-Pos4] Pos 4","[4022-631-2166-Pos4] Pos 4","[5603-0000-0017] STAAL s235jr wgw plat 100x30","Pcs","0.0","Pcs","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","19.0"
"","","","","","","Milling (FR3_02)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
